zoomlevel,regionId,regionSize,algorithm,rate,delta,waypointCost,computionCost,mappingCost,renderingCost,quality,qualityCost
11,1,0.0078125,1,0.001,4,503,1,0,0,0.0,0
11,1,0.0078125,1,0.001,8,505,0,0,0,0.0,0
11,1,0.0078125,1,0.001,16,507,0,0,0,0.0,0
11,1,0.0078125,1,0.001,32,506,0,0,0,0.0,0
11,1,0.0078125,1,0.001,64,508,0,0,0,0.0,0
11,1,0.0078125,1,5.0E-4,0,504,0,0,0,0.0,0
11,1,0.0078125,1,5.0E-4,4,508,0,0,0,0.0,0
11,1,0.0078125,1,5.0E-4,8,503,0,0,0,0.0,0
11,1,0.0078125,1,5.0E-4,16,505,0,0,0,0.0,0
11,1,0.0078125,1,5.0E-4,32,507,0,0,0,0.0,0
11,1,0.0078125,1,5.0E-4,64,505,1,0,0,0.0,0
11,1,0.0078125,1,1.0E-4,0,504,1,0,0,0.0,0
11,1,0.0078125,1,1.0E-4,4,506,0,0,0,0.0,0
11,1,0.0078125,1,1.0E-4,8,504,0,0,0,0.0,0
11,1,0.0078125,1,1.0E-4,16,510,0,0,0,0.0,0
11,1,0.0078125,1,1.0E-4,32,502,1,0,0,0.0,0
11,1,0.0078125,1,1.0E-4,64,502,0,0,0,0.0,0
11,1,0.0078125,1,5.0E-5,0,508,0,0,0,0.0,0
11,1,0.0078125,1,5.0E-5,4,508,0,0,0,0.0,0
11,1,0.0078125,1,5.0E-5,8,507,0,0,0,0.0,0
11,1,0.0078125,1,5.0E-5,16,515,0,0,0,0.0,0
11,1,0.0078125,1,5.0E-5,32,511,0,0,0,0.0,0
11,1,0.0078125,1,5.0E-5,64,511,0,0,0,0.0,0
11,1,0.0078125,1,1.0E-5,0,513,0,0,0,0.0,0
11,1,0.0078125,1,1.0E-5,4,508,1,0,0,0.0,0
11,1,0.0078125,1,1.0E-5,8,509,0,0,0,0.0,0
11,1,0.0078125,1,1.0E-5,16,505,0,0,0,0.0,0
11,1,0.0078125,1,1.0E-5,32,506,1,0,0,0.0,0
11,1,0.0078125,1,1.0E-5,64,505,1,0,0,0.0,0
11,1,0.015625,0,0.01,0,508,0,0,0,0.0,0
11,1,0.015625,0,0.005,0,516,0,0,0,0.0,0
11,1,0.015625,0,0.001,0,513,0,0,0,0.0,0
11,1,0.015625,0,5.0E-4,0,510,0,0,0,0.0,0
11,1,0.015625,0,1.0E-4,0,502,0,0,0,0.0,0
11,1,0.015625,0,5.0E-5,0,501,0,0,0,0.0,0
11,1,0.015625,0,1.0E-5,0,506,0,0,0,0.0,0
11,1,0.015625,1,0.01,0,503,1,0,0,0.0,0
11,1,0.015625,1,0.01,4,503,0,0,0,0.0,0
11,1,0.015625,1,0.01,8,518,0,0,0,0.0,0
11,1,0.015625,1,0.01,16,504,0,0,0,0.0,0
11,1,0.015625,1,0.01,32,518,0,0,0,0.0,0
11,1,0.015625,1,0.01,64,506,0,0,0,0.0,0
11,1,0.015625,1,0.005,0,501,0,0,0,0.0,0
11,1,0.015625,1,0.005,4,504,1,0,0,0.0,0
11,1,0.015625,1,0.005,8,505,0,0,0,0.0,0
11,1,0.015625,1,0.005,16,511,1,0,0,0.0,0
11,1,0.015625,1,0.005,32,510,0,0,0,0.0,0
11,1,0.015625,1,0.005,64,509,1,0,0,0.0,0
11,1,0.015625,1,0.001,0,502,0,0,0,0.0,0
11,1,0.015625,1,0.001,4,506,0,0,0,0.0,0
11,1,0.015625,1,0.001,8,502,0,0,0,0.0,0
11,1,0.015625,1,0.001,16,502,0,0,0,0.0,0
11,1,0.015625,1,0.001,32,503,1,0,0,0.0,0
11,1,0.015625,1,0.001,64,512,1,0,0,0.0,0
11,1,0.015625,1,5.0E-4,0,503,0,0,0,0.0,0
11,1,0.015625,1,5.0E-4,4,509,0,0,0,0.0,0
11,1,0.015625,1,5.0E-4,8,515,0,0,0,0.0,0
11,1,0.015625,1,5.0E-4,16,513,0,0,0,0.0,0
11,1,0.015625,1,5.0E-4,32,513,0,0,0,0.0,0
11,1,0.015625,1,5.0E-4,64,510,0,0,0,0.0,0
11,1,0.015625,1,1.0E-4,0,505,0,0,0,0.0,0
11,1,0.015625,1,1.0E-4,4,507,1,0,0,0.0,0
11,1,0.015625,1,1.0E-4,8,514,1,0,0,0.0,0
11,1,0.015625,1,1.0E-4,16,512,0,0,0,0.0,0
11,1,0.015625,1,1.0E-4,32,513,1,0,0,0.0,0
11,1,0.015625,1,1.0E-4,64,504,1,0,0,0.0,0
11,1,0.015625,1,5.0E-5,0,504,0,0,0,0.0,0
11,1,0.015625,1,5.0E-5,4,503,0,0,0,0.0,0
11,1,0.015625,1,5.0E-5,8,508,1,0,0,0.0,0
11,1,0.015625,1,5.0E-5,16,501,1,0,0,0.0,0
11,1,0.015625,1,5.0E-5,32,509,0,0,0,0.0,0
11,1,0.015625,1,5.0E-5,64,504,0,0,0,0.0,1
11,1,0.015625,1,1.0E-5,0,505,0,0,0,0.0,0
11,1,0.015625,1,1.0E-5,4,503,1,0,0,0.0,0
11,1,0.015625,1,1.0E-5,8,505,1,0,0,0.0,0
11,1,0.015625,1,1.0E-5,16,510,1,0,0,0.0,0
11,1,0.015625,1,1.0E-5,32,504,0,0,0,0.0,0
11,1,0.015625,1,1.0E-5,64,511,0,0,0,0.0,0
11,1,0.03125,0,0.01,0,507,0,0,0,0.0,1
11,1,0.03125,0,0.005,0,504,0,0,0,0.0,0
11,1,0.03125,0,0.001,0,511,0,0,0,0.0,0
11,1,0.03125,0,5.0E-4,0,502,0,0,0,0.0,0
11,1,0.03125,0,1.0E-4,0,510,0,0,0,0.0,0
11,1,0.03125,0,5.0E-5,0,508,0,0,0,0.0,0
11,1,0.03125,0,1.0E-5,0,514,0,0,0,0.0,1
11,1,0.03125,1,0.01,0,511,1,0,0,0.0,0
11,1,0.03125,1,0.01,4,508,1,0,0,0.0,0
11,1,0.03125,1,0.01,8,510,1,0,0,0.0,0
11,1,0.03125,1,0.01,16,513,1,0,0,0.0,0
11,1,0.03125,1,0.01,32,516,0,0,0,0.0,1
11,1,0.03125,1,0.01,64,517,1,0,0,0.0,0
11,1,0.03125,1,0.005,0,510,1,0,0,0.0,0
11,1,0.03125,1,0.005,4,514,1,0,0,0.0,0
